td_sku_nbr,td_chain_nbr,td_last_update_dt
600279054,7,6/29/2017
600279089,7,6/29/2017
600279091,7,6/29/2017
600279055,7,6/29/2017
600279102,7,6/29/2017
600279068,7,6/29/2017
600279073,7,6/29/2017
600279088,7,6/29/2017
600279085,7,6/29/2017
600279081,7,6/29/2017
600125993,7,7/1/2017
600125994,7,7/1/2017
600125991,7,7/1/2017
600125990,7,7/1/2017
600125992,7,7/1/2017
600125989,7,7/1/2017
201444845,7,7/1/2017
600089661,7,7/1/2017
600293030,7,7/24/2017
600304450,7,8/23/2017
600308303,7,9/8/2017
600309847,7,9/11/2017
600309948,7,9/11/2017
600310964,7,9/11/2017
600309848,7,9/11/2017
600309852,7,9/11/2017
600309851,7,9/11/2017
600310966,7,9/11/2017
600315973,7,9/18/2017
600316000,7,9/18/2017
600315997,7,9/18/2017
600315998,7,9/18/2017
600315975,7,9/18/2017
600315985,7,9/18/2017
600315991,7,9/18/2017
600315984,7,9/18/2017
600315988,7,9/18/2017
600315986,7,9/18/2017
600315990,7,9/18/2017
600315970,7,9/18/2017
600316001,7,9/18/2017
600315974,7,9/18/2017
600315999,7,9/18/2017
600315969,7,9/18/2017
600315972,7,9/18/2017
600315994,7,9/18/2017
600315996,7,9/18/2017
600315995,7,9/18/2017
600315971,7,9/18/2017
600315987,7,9/18/2017
600315989,7,9/18/2017
600315076,7,9/26/2017
600319776,7,9/27/2017
600319772,7,9/27/2017
600319785,7,9/27/2017
600319801,7,9/27/2017
600319779,7,9/27/2017
600319777,7,9/27/2017
600319775,7,9/27/2017
600319783,7,9/27/2017
600319778,7,9/27/2017
600319781,7,9/27/2017
600319774,7,9/27/2017
600319780,7,9/27/2017
600117153,7,10/4/2017
210065975,7,10/4/2017
210065973,7,10/4/2017
600003880,7,10/4/2017
210065976,7,10/4/2017
210065974,7,10/4/2017
600003848,7,10/4/2017
210065977,7,10/4/2017
600003876,7,10/4/2017
600014607,7,10/4/2017
600014581,7,10/4/2017
600003167,7,10/4/2017
201444847,7,10/4/2017
201444851,7,10/4/2017
600003150,7,10/4/2017
210065966,7,10/4/2017
210065968,7,10/4/2017
210065971,7,10/4/2017
600030790,7,10/4/2017
600026845,7,10/4/2017
600030791,7,10/4/2017
600026847,7,10/4/2017
600030019,7,10/4/2017
600030785,7,10/4/2017
600026860,7,10/4/2017
600030020,7,10/4/2017
600026848,7,10/4/2017
600030787,7,10/4/2017
600117156,7,10/4/2017
600117154,7,10/4/2017
600117151,7,10/4/2017
600117155,7,10/4/2017
600117152,7,10/4/2017
600003856,7,10/4/2017
210065979,7,10/4/2017
210065978,7,10/4/2017
600003828,7,10/4/2017
600014565,7,10/4/2017
600014604,7,10/4/2017
201439180,7,10/4/2017
600130856,7,10/4/2017
600030789,7,10/4/2017
210065964,7,10/4/2017
210065965,7,10/4/2017
210065967,7,10/4/2017
210065969,7,10/4/2017
210065970,7,10/4/2017
600030017,7,10/4/2017
600026857,7,10/4/2017
600026846,7,10/4/2017
600030018,7,10/4/2017
600026858,7,10/4/2017
600030788,7,10/4/2017
600026859,7,10/4/2017
