txn_item_id,txn_id,txn_nbr,txn_source_cd,brand_cd,txn_item_nbr,store_nbr,register_nbr,txn_dt,txn_time,txn_type_cd,txn_channel_cd,txn_status_cd,orig_web_txn_id,bill_indiv_id,bill_hh_id,bill_addr_id,bill_usps_geo_id,alloc_indiv_id,alloc_hh_id,alloc_addr_id,email_id,rm_method_cd,rm_vendor_cd,rm_dt,cashier_emp_nbr,emp_purch_ind,zip_capture_ind,email_capture_ind,new_email_ind,bankcard_ind,plcc_ind,cash_ind,gc_ind,international_ind,tax_jurisdiction,ip_address,product_id,item_status_cd,item_gift_ind,item_last_ship_dt,ship_method_cd,ship_indiv_id,ship_hh_id,ship_addr_id,ship_usps_geo_id,item_list_price,item_sold_qty,item_sold_price,item_cogs,item_gross_amt,item_disc_amt,item_giftcard_amt,item_adj_cd,item_adj_amt,item_net_amt,item_ret_from_txn_id,item_ret_cd,item_ret_dt,item_ret_qty,item_ret_amt,full_price_ind,item_ret_from_store_nbr,originoforder,source_keycode,full_price_flg,pickup_type,pickup_store_nbr,partner_cd,bopis_item_adj_cd
1659409094,543288725,1524:2:20190521:12925,AW,LOFT,9,1524,2,2019-05-21 17:05:00 UTC,10:21:24,EXC,RET,C,0,5E+12,5.00005E+12,4.14278E+31,0,5E+12,5.00005E+12,4.14278E+31,15376260,,,,6771787,0,0,1,0,0,0,0,0,,,,3121245,,0,,,5E+12,5.00005E+12,4.14278E+31,0,69.5,0,0,14.57999992,0,0,0,,0,0,543219114,13,2019-05-21 17:05:00 UTC,1,37.13000107,1,1524,,,,,,,
1655092912,541855357,1536:1:20190508:15993,AW,LOFT,1,1536,1,2019-05-08 17:05:00 UTC,13:23:13,EXC,RET,C,0,0,0,0,0,0,0,0,35980039,,,,6757454,0,0,1,1,0,0,0,0,,,,832732,,0,,,0,0,0,0,29.98999977,0,0,10.07999992,0,0,0,,0,0,540023370,17,2019-05-08 17:05:00 UTC,1,18.88999939,1,1536,,,,,,,
1657830952,542745073,1634:1:20190516:17875,AW,LOFT,1,1634,1,2019-05-16 17:05:00 UTC,16:04:23,EXC,RET,C,0,5.00004E+12,5.00004E+12,5.63369E+31,0,5.00004E+12,5.00004E+12,5.63369E+31,24534779,,,,464560,0,0,0,0,0,0,0,0,,,,1016854,,0,,,5.00004E+12,5.00004E+12,5.63369E+31,0,54.5,1,54.5,7.849999905,54.5,25,0,,0,29.5,0,,,0,0,1,0,,,,,,,
1656893879,542422040,1636:1:20190512:15158,AW,LOFT,1,1636,1,2019-05-12 17:05:00 UTC,17:39:44,EXC,RET,C,0,5E+12,5E+12,9.355E+31,0,5E+12,5.00008E+12,9.355E+31,7822882,,,,6759682,0,0,1,0,0,0,0,0,,,,3128455,,0,,,5E+12,5E+12,9.355E+31,0,59.5,0,0,15.89000034,0,0,0,,0,0,541121289,17,2019-05-12 17:05:00 UTC,1,35.70000076,1,1743,,,,,,,
1659508043,543307654,1805:11:20190521:4663,AW,LOFT,5,1805,11,2019-05-21 17:05:00 UTC,19:46:42,EXC,RET,C,0,5.00001E+12,5.00007E+12,2.73241E+31,0,5.00001E+12,5.00007E+12,2.73241E+31,6084819,,,,6781990,0,0,0,0,0,0,0,0,,,,3123159,,0,,,5.00001E+12,5.00007E+12,2.73241E+31,0,79.5,1,39.75,13.81000042,39.75,0,0,,0,39.75,0,,,0,0,1,0,,,,,,,
1659454962,543321051,1818:1:20190521:11258,AW,LOFT,1,1818,1,2019-05-21 17:05:00 UTC,11:29:18,EXC,RET,C,0,5E+12,5.00005E+12,9.03111E+31,0,5E+12,5.00005E+12,9.03111E+31,6855951,,,,457141,0,0,1,0,0,0,0,0,,,,3131450,,0,,,5E+12,5.00005E+12,9.03111E+31,0,49.5,0,0,8.819999695,0,0,0,,0,0,543210641,13,2019-05-21 17:05:00 UTC,1,29.5,1,1818,,,,,,,
1657246550,542573924,2231:5:20190514:12938,AW,ATF,6,2231,5,2019-05-14 17:05:00 UTC,14:37:36,EXC,RET,C,0,0,0,0,0,0,0,0,0,,,,5216645,0,0,0,0,0,0,0,0,,,,3107546,,0,,,0,0,0,0,89.98999786,0,0,12.68999958,0,0,0,,0,0,542220041,17,2019-05-14 17:05:00 UTC,1,34.99000168,1,2231,,,,,,,
1657218922,542573924,2231:5:20190514:12938,AW,ATF,1,2231,5,2019-05-14 17:05:00 UTC,14:37:36,EXC,RET,C,0,0,0,0,0,0,0,0,0,,,,5216645,0,0,0,0,0,0,0,0,,,,3111421,,0,,,0,0,0,0,54.99000168,0,0,7.940000057,0,0,0,,0,0,542220041,17,2019-05-14 17:05:00 UTC,1,27.98999977,1,2231,,,,,,,
1654712517,541749987,2244:2:20190507:26199,AW,ATF,1,2244,2,2019-05-07 17:05:00 UTC,14:11:50,EXC,RET,C,0,5.00004E+12,5.00008E+12,4.75799E+31,11420,5.00004E+12,5.00008E+12,4.75799E+31,21175433,,,,6753279,0,0,1,0,0,0,0,0,,,,3066075,,0,,,5.00004E+12,5.00008E+12,4.75799E+31,11420,69.98999786,0,0,14.76000023,0,0,0,,0,0,540322548,13,2019-05-07 17:05:00 UTC,1,39.99000168,1,2251,,,,,,,
1658790253,543170703,2251:2:20190519:24004,AW,ATF,1,2251,2,2019-05-19 17:05:00 UTC,18:00:23,EXC,RET,C,0,5.00005E+12,5.00005E+12,4.7473E+30,0,5.00005E+12,5.00005E+12,4.7473E+30,45043051,,,,6765033,0,0,1,0,0,0,0,0,,,,2689349,,0,,,5.00005E+12,5.00005E+12,4.7473E+30,0,24.98999977,0,0,3.029999971,0,0,0,,0,0,542485947,28,2019-05-19 17:05:00 UTC,1,10.61999989,1,2251,,,,,,,
